module
audjpy_long_bo_h15_rr1.15_dist2.5_wickmaxna_retge20_zna_sl35_tp105_shield79-26_ttl60
eurjpy_short_bo_h5_rr1.25_dist2.5_wickmaxna_retle-2.5_z2_sl25_tp50_shield38-0_ttl120
eurusd_short_bo_h12_rr1.6_dist5_wickmaxna_retle-2.5_z1_sl35_tp26_shield13-3_ttl60
eurusd_short_bo_h15_rr1_dist5_wickmax5_retle-20_z2_sl35_tp52_shield35-12_ttl180
usdjpy_long_bo_h8_rr1.25_dist5_wickmaxna_retna_z1_sl30_tp30_shield20-4_ttl120
usdjpy_long_bo_h9_rr1.15_dist5_wickmax10_retna_z1_sl30_tp22_shield11-2_ttl60
usdcad_short_bo_h13_rr1.4_dist1_wickmaxna_retle-20_z2_sl40_tp40_shield16-3_ttl60
