month,start_nav,end_nav,pnl_dollars,trades,monthly_return_pct
2021-01,1500.0,1500.0,0.0,0,0.0
2021-02,1500.0,1535.5614877999978,35.56148779999796,2,2.370765853333201
2021-03,1535.5614877999978,1517.4681701658387,-18.093317634159188,2,-1.1782867555555465
2021-04,1517.4681701658387,1545.1629759168118,27.69480575097299,1,1.8250666666666415
2021-05,1545.1629759168118,1584.9390762971889,39.77610038037717,2,2.57423333333342
2021-06,1584.9390762971889,1620.701170626968,35.762094329778975,6,2.2563702835397326
2021-07,1620.701170626968,1733.3834177552487,112.6822471282807,3,6.9526849964999915
2021-08,1733.3834177552487,1790.4364017516407,57.05298399639189,5,3.2914232022754897
2021-09,1790.4364017516407,1870.2722673379724,79.83586558633176,11,4.459017114946162
2021-10,1870.2722673379724,1809.4322330681973,-60.84003426977512,5,-3.2530041391444553
2021-11,1809.4322330681973,1840.25168914997,30.81945608177251,1,1.7032666666666474
2021-12,1840.25168914997,1840.25168914997,0.0,0,0.0
2022-01,1840.25168914997,1855.2310499862187,14.979360836248702,4,0.8139843546709491
2022-02,1855.2310499862187,1819.8068919326304,-35.42415805358834,2,-1.9094202877777189
2022-03,1819.8068919326304,1816.112683942007,-3.694207990623378,1,-0.20300000000000873
2022-04,1816.112683942007,1816.112683942007,0.0,0,0.0
2022-05,1816.112683942007,1885.161962345075,69.04927840306802,2,3.802037121022228
2022-06,1885.161962345075,1925.8181433923678,40.65618104729296,3,2.1566412785412936
2022-07,1925.8181433923678,1990.30480586324,64.48666247087219,1,3.3485333333332035
2022-08,1990.30480586324,1972.5647281867266,-17.740077676513543,2,-0.8913246666667818
2022-09,1972.5647281867266,1972.5647281867266,0.0,0,0.0
2022-10,1972.5647281867266,2054.485802227113,81.92107404038606,2,4.153023364444519
2022-11,2054.485802227113,2129.2742308354113,74.78842860829863,3,3.640250447446558
2022-12,2129.2742308354113,2146.0255631250257,16.751332289614126,3,0.7867155882050003
2023-01,2146.0255631250257,2126.224595012547,-19.800968112478373,3,-0.9226809061698482
2023-02,2126.224595012547,2126.224595012547,0.0,0,0.0
2023-03,2126.224595012547,2107.55243506753,-18.672159945017007,2,-0.8781838000000541
2023-04,2107.55243506753,2244.805382366347,137.2529472988173,2,6.512433333333378
2023-05,2244.805382366347,2582.748743562309,337.9433611959618,6,15.054461462477464
2023-06,2582.748743562309,2722.721273066381,139.97252950407227,6,5.419517862624623
2023-07,2722.721273066381,2668.0409071180757,-54.68036594830525,2,-2.0082983333333693
2023-08,2668.0409071180757,2632.840337082835,-35.200570035240624,2,-1.319341466666757
2023-09,2632.840337082835,2625.9871851413805,-6.853151941454584,3,-0.2602950070663135
2023-10,2625.9871851413805,2793.693222025113,167.7060368837325,8,6.386399668386167
2023-11,2793.693222025113,2789.102252830245,-4.5909691948678395,1,-0.16433333333356615
2023-12,2789.102252830245,2708.750734055607,-80.35151877463782,4,-2.8809097512685677
2024-01,2708.750734055607,3040.8392541826097,332.0885201270027,5,12.259840521751952
2024-02,3040.8392541826097,2847.6277009721093,-193.21155321050057,3,-6.353889076666652
2024-03,2847.6277009721093,2934.816779752917,87.1890787808073,2,3.0618145325332913
2024-04,2934.816779752917,3332.051916361687,397.2351366087702,6,13.535261872198156
2024-05,3332.051916361687,3332.051916361687,0.0,0,0.0
2024-06,3332.051916361687,3269.13345928972,-62.91845707196666,3,-1.8882796142224656
2024-07,3269.13345928972,3261.985261680617,-7.148197609103299,4,-0.21865725881550224
2024-08,3261.985261680617,3402.117516217744,140.13225453712715,2,4.295919303600071
2024-09,3402.117516217744,3402.117516217744,0.0,0,0.0
2024-10,3402.117516217744,3447.435989612112,45.31847339436777,1,1.3320666666667647
2024-11,3447.435989612112,3483.2939204854,35.857930873288254,1,1.040133333333415
2024-12,3483.2939204854,3483.2939204854,0.0,0,0.0
2025-01,3483.2939204854,3284.1923232843715,-199.10159720102877,2,-5.715900000000107
2025-02,3284.1923232843715,3318.161819214876,33.969495930504465,1,1.034333333333315
2025-03,3318.161819214876,3477.7763974890554,159.6145782741798,4,4.810331351228281
2025-04,3477.7763974890554,3521.245124681269,43.468727192213244,1,1.2498999999999372
2025-05,3521.245124681269,3521.245124681269,0.0,0,0.0
2025-06,3521.245124681269,3660.613189720053,139.368065038784,1,3.9579199999999704
2025-07,3660.613189720053,3461.16862930364,-199.4445604164128,5,-5.448392115739098
2025-08,3461.16862930364,3771.0445848933523,309.87595558971213,5,8.952928585050103
2025-09,3771.0445848933523,3802.068997217441,31.024412324088665,2,0.8227007563997191
2025-10,3802.068997217441,3976.4520761449703,174.38307892752948,2,4.586531150674866
2025-11,3976.4520761449703,4065.1693729318076,88.71729678683735,1,2.2310666666664813
2025-12,4065.1693729318076,4282.236474569686,217.06710163787844,3,5.33968161531555
