module,instrument,side,entry_time,exit_time,entry_price,exit_price,pnl_pips,stop_pips,pip_size,partial_fills,units,pnl_dollars,balance_before_entry,usd_notional,entry_year,balance_after_exit,exit_year,balance_before_exit
usdjpy_short_h12-15_rr1.25_imb2.5_node3_ret5_sig1_sl30_tp20-40-60_frac0.3-0.3-0.3_trail15_ttl180,usdjpy,short,2023-12-12 13:32:00+00:00,2023-12-12 13:33:00+00:00,144.82,145.12,-30.000000000001137,30.0,0.01,"[{""time"": ""2023-12-12T13:33:00+00:00"", ""price"": 145.12, ""fraction"": 1.0, ""pips"": -30.000000000001137}]",38333.20692792126,-79.35523369073309,2736.387368645865,38333.20692792126,2023,2657.032134955132,2023,2736.387368645865
gbpusd_short_h12-15_rr1.25_imb4_node3_ret5_sig1_sl25_tp25-50-75_frac0.4-0.3-0.2_trail20_ttl180,gbpusd,short,2023-12-12 14:28:00+00:00,2023-12-12 15:04:00+00:00,1.25461,1.25348,16.780000000000452,25.0,0.0001,"[{""time"": ""2023-12-12T14:35:00+00:00"", ""price"": 1.25211, ""fraction"": 0.4, ""pips"": 25}, {""time"": ""2023-12-12T15:04:00+00:00"", ""price"": 1.25348, ""fraction"": 0.6, ""pips"": 11.300000000000754}]",30821.572765479526,51.71859910047604,2657.032134955132,38669.05340729827,2023,2708.750734055608,2023,2657.032134955132
gbpusd_long_h12-15_rr1.25_imb4_node2_ret20_sig1_sl20_tp20-40-60_frac0.3-0.3-0.3_trail15_ttl240,gbpusd,long,2024-01-05 14:29:00+00:00,2024-01-05 15:00:00+00:00,1.26936,1.27267,31.239999999999696,20.0,0.0001,"[{""time"": ""2024-01-05T15:00:00+00:00"", ""price"": 1.27136, ""fraction"": 0.3, ""pips"": 20}, {""time"": ""2024-01-05T15:00:00+00:00"", ""price"": 1.27336, ""fraction"": 0.3, ""pips"": 40}, {""time"": ""2024-01-05T15:00:00+00:00"", ""price"": 1.27267, ""fraction"": 0.39999999999999997, ""pips"": 33.09999999999924}]",39276.885643806316,122.70099075124973,2708.750734055608,49856.507560821985,2024,2831.451724806858,2024,2708.750734055608
gbpjpy_short_h12-15_rr1.25_imb3.5_node3_ret10_sig1.05_sl30_tp25-50-75_frac0.4-0.3-0.2_trail20_ttl240,gbpjpy,short,2024-01-11 14:51:00+00:00,2024-01-11 15:43:00+00:00,185.58,185.523,13.420000000000982,30.0,0.01,"[{""time"": ""2024-01-11T15:31:00+00:00"", ""price"": 185.33, ""fraction"": 0.4, ""pips"": 25}, {""time"": ""2024-01-11T15:43:00+00:00"", ""price"": 185.523, ""fraction"": 0.6, ""pips"": 5.700000000001637}]",39938.230621435345,36.73147940868044,2831.451724806858,50798.034600862935,2024,2868.1832042155384,2024,2831.451724806858
gbpusd_long_h12-15_rr1.25_imb4_node2_ret20_sig1_sl20_tp20-40-60_frac0.3-0.3-0.3_trail15_ttl240,gbpusd,long,2024-01-12 13:33:00+00:00,2024-01-12 15:00:00+00:00,1.27561,1.27658,12.790000000000962,20.0,0.0001,"[{""time"": ""2024-01-12T14:37:00+00:00"", ""price"": 1.27761, ""fraction"": 0.3, ""pips"": 20}, {""time"": ""2024-01-12T15:00:00+00:00"", ""price"": 1.27658, ""fraction"": 0.7, ""pips"": 9.700000000001374}]",41588.656461125305,53.19189161378327,2868.1832042155384,53050.90606837605,2024,2921.3750958293217,2024,2868.1832042155384
usdjpy_short_h12-15_rr1.25_imb2.5_node3_ret5_sig1_sl30_tp20-40-60_frac0.3-0.3-0.3_trail15_ttl180,usdjpy,short,2024-01-29 14:11:00+00:00,2024-01-29 17:11:00+00:00,147.904,147.679,21.749999999999602,30.0,0.01,"[{""time"": ""2024-01-29T15:53:00+00:00"", ""price"": 147.704, ""fraction"": 0.3, ""pips"": 20}, {""time"": ""2024-01-29T17:11:00+00:00"", ""price"": 147.679, ""fraction"": 0.7, ""pips"": 22.49999999999943}]",41774.94813346081,61.421911389810354,2921.3750958293217,41774.94813346081,2024,2982.797007219132,2024,2921.3750958293217
gbpusd_long_h12-15_rr1.25_imb4_node2_ret20_sig1_sl20_tp20-40-60_frac0.3-0.3-0.3_trail15_ttl240,gbpusd,long,2024-01-31 14:34:00+00:00,2024-01-31 15:22:00+00:00,1.27243,1.27349,13.420000000000424,20.0,0.0001,"[{""time"": ""2024-01-31T15:02:00+00:00"", ""price"": 1.27443, ""fraction"": 0.3, ""pips"": 20}, {""time"": ""2024-01-31T15:22:00+00:00"", ""price"": 1.27349, ""fraction"": 0.7, ""pips"": 10.600000000000609}]",43250.55660467741,58.04224696347893,2982.797007219132,55033.305740489675,2024,3040.839254182611,2024,2982.797007219132
gbpusd_short_h12-15_rr1.25_imb4_node3_ret5_sig1_sl25_tp25-50-75_frac0.4-0.3-0.2_trail20_ttl180,gbpusd,short,2024-02-16 13:31:00+00:00,2024-02-16 15:19:00+00:00,1.25593,1.25843,-24.999999999999467,25.0,0.0001,"[{""time"": ""2024-02-16T15:19:00+00:00"", ""price"": 1.25843, ""fraction"": 1.0, ""pips"": -24.999999999999467}]",35273.73534851828,-88.18433837129383,3040.839254182611,44301.34243626457,2024,2952.654915811317,2024,3040.839254182611
usdjpy_short_h12-15_rr1.25_imb2.5_node3_ret5_sig1_sl30_tp20-40-60_frac0.3-0.3-0.3_trail15_ttl180,usdjpy,short,2024-02-20 14:22:00+00:00,2024-02-20 17:22:00+00:00,149.872,149.942,-6.999999999999318,30.0,0.01,"[{""time"": ""2024-02-20T17:22:00+00:00"", ""price"": 149.942, ""fraction"": 1.0, ""pips"": -6.999999999999318}]",42772.25261118174,-19.979631596987964,2952.654915811317,42772.25261118174,2024,2932.675284214329,2024,2952.654915811317
usdjpy_short_h12-15_rr1.25_imb2.5_node3_ret5_sig1_sl30_tp20-40-60_frac0.3-0.3-0.3_trail15_ttl180,usdjpy,short,2024-02-29 15:02:00+00:00,2024-02-29 15:55:00+00:00,149.334,149.63400000000001,-30.000000000001137,30.0,0.01,"[{""time"": ""2024-02-29T15:55:00+00:00"", ""price"": 149.63400000000001, ""fraction"": 1.0, ""pips"": -30.000000000001137}]",42338.671381583874,-85.04758324221876,2932.675284214329,42338.671381583874,2024,2847.6277009721102,2024,2932.675284214329
usdjpy_short_h12-15_rr1.25_imb2.5_node3_ret5_sig1_sl30_tp20-40-60_frac0.3-0.3-0.3_trail15_ttl180,usdjpy,short,2024-03-01 15:06:00+00:00,2024-03-01 15:38:00+00:00,150.33,150.264,10.620000000000175,30.0,0.01,"[{""time"": ""2024-03-01T15:28:00+00:00"", ""price"": 150.13000000000002, ""fraction"": 0.3, ""pips"": 20}, {""time"": ""2024-03-01T15:38:00+00:00"", ""price"": 150.264, ""fraction"": 0.7, ""pips"": 6.60000000000025}]",41392.17654418927,29.233745978180163,2847.6277009721102,41392.17654418927,2024,2876.8614469502904,2024,2847.6277009721102
usdjpy_short_h12-15_rr1.25_imb2.5_node3_ret5_sig1_sl30_tp20-40-60_frac0.3-0.3-0.3_trail15_ttl180,usdjpy,short,2024-03-06 14:01:00+00:00,2024-03-06 17:01:00+00:00,149.357,149.145,20.839999999999236,30.0,0.01,"[{""time"": ""2024-03-06T16:55:00+00:00"", ""price"": 149.157, ""fraction"": 0.3, ""pips"": 20}, {""time"": ""2024-03-06T17:01:00+00:00"", ""price"": 149.145, ""fraction"": 0.7, ""pips"": 21.19999999999891}]",41526.63672306244,57.955332802627126,2876.8614469502904,41526.63672306244,2024,2934.8167797529177,2024,2876.8614469502904
gbpusd_long_h12-15_rr1.25_imb4_node2_ret20_sig1_sl20_tp20-40-60_frac0.3-0.3-0.3_trail15_ttl240,gbpusd,long,2024-04-03 14:44:00+00:00,2024-04-03 18:44:00+00:00,1.26205,1.26519,27.980000000001,20.0,0.0001,"[{""time"": ""2024-04-03T16:22:00+00:00"", ""price"": 1.26405, ""fraction"": 0.3, ""pips"": 20}, {""time"": ""2024-04-03T18:44:00+00:00"", ""price"": 1.26519, ""fraction"": 0.7, ""pips"": 31.400000000001427}]",42554.8433064173,119.06845157135986,2934.8167797529177,53706.33999486395,2024,3053.8852313242774,2024,2934.8167797529177
gbpusd_short_h12-15_rr1.25_imb4_node3_ret5_sig1_sl25_tp25-50-75_frac0.4-0.3-0.2_trail20_ttl180,gbpusd,short,2024-04-10 13:48:00+00:00,2024-04-10 16:48:00+00:00,1.25705,1.2527,36.100000000000456,25.0,0.0001,"[{""time"": ""2024-04-10T15:41:00+00:00"", ""price"": 1.25455, ""fraction"": 0.4, ""pips"": 25}, {""time"": ""2024-04-10T16:48:00+00:00"", ""price"": 1.2527, ""fraction"": 0.6, ""pips"": 43.50000000000076}]",35425.06868336161,127.88449794693705,3053.8852313242774,44531.08258841972,2024,3181.7697292712146,2024,3053.8852313242774
