year,start_nav,end_nav,pnl_dollars,trades,yearly_return_pct
2021,1500.0,1840.2516891499697,340.25168914996965,38,22.683445943331314
2022,1840.2516891499697,2146.025563125025,305.7738739750554,23,16.615872479720185
2023,2146.025563125025,2708.7507340556076,562.7251709305824,39,26.221736618605163
2024,2708.7507340556076,3483.2939204854006,774.5431864297929,27,28.59411080879073
2025,3483.2939204854006,4282.236474569687,798.942554084286,27,22.936409396452916
