side,trades,win_rate_pct,total_pnl_dollars,avg_pnl_dollars,avg_pnl_pips,pnl_share_pct
short,139,65.46762589928058,2092.32435251915,15.052693183591009,6.038561151078972,75.20296609017603
long,15,80.0,689.9121220505364,45.99414147003576,10.79999999999993,24.79703390982398
